systype,sysid,description,default_string,translation,context
1,50,Screen label for End-User (Plural),End-Users,End-Users,
1,51,Screen label for Email (Singular),Email,Email,
1,52,Screen label for Email (Plural),Emails,Emails,
1,53,Screen label for Item (Singular),Item,Item,
1,54,Screen label for Item (Plural),Items,Items,
1,55,Screen label for Product (Singular),Product,Product,
1,56,Screen label for Product (Plural),Products,Products,
1,57,Screen label for Filter Profile (Singular),Filter Profile,Filter Profile,
1,58,Screen label for Filter Profile (Plural),Filter Profiles,Filter Profiles,
1,59,Screen label for Column Profile (Singular),Column Profile,Column Profile,
1,60,Screen label for Column Profile (Plural),Column Profiles,Column Profiles,
1,61,Screen label for List (Singular),List,Board,
1,62,Screen label for Lists (Plural),Lists,Boards,
1,63,Screen label for Field (Singular),Field,Field,
1,64,Screen label for Fields (Plural),Fields,Fields,
1,65,Screen label for Message Group (Singular),Message Group,Message Group,
1,66,Screen label for Message Group (Plural),Message Groups,Message Groups,
1,67,Screen label for Release (Software Releases) (Singular),Release,Release,
1,68,Screen label for Release (Software Releases) (Plural),Releases,Releases,
1,69,Screen label for Role (Singular),Role,Role,
1,70,Screen label for Role (Plural),Roles,Roles,
1,71,Screen label for Charge Rate (Singular),Charge Rate,Charge Rate,
1,72,Screen label for Charge Rate (Plural),Charge Rates,Charge Rates,
1,73,Screen label for Component (Software Releases) (Singular),Component,Component,
1,74,Screen label for Component (Software Releases) (Plural),Components,Components,
1,75,Screen label for Opportunity (Singular),Opportunity,Sale,
1,76,Screen label for Opportunity (Plural),Opportunities,Sales,
1,77,Screen label for Project (Singular),Project,Project,
1,78,Screen label for Project (Plural),Projects,Projects,
1,79,Screen label for Mailbox (Singular),Mailbox,Mailbox,
1,80,Screen label for Mailbox (Plural),Mailboxes,Mailboxes,
1,81,Screen label for Knowledge Base Article (Singular),Article,Article,
1,82,Screen label for Knowledge Base Article (Plural),Articles,Articles,
1,83,Screen label for Asset Group (Singular),Asset Group,Asset Group,
1,84,Screen label for Asset Group (Plural),Asset Groups,Asset Groups,
1,85,Screen label for Asset Type (Singular),Asset Type,Asset Type,
1,86,Screen label for Asset Type (Plural),Asset Types,Asset Types,
1,87,Screen label for Facebook Post (Singular),Post,Post,
1,88,Screen label for Facebook Post (Plural),Posts,Posts,
1,89,Screen label for Facebook Page (Singular),Page,Page,
1,90,Screen label for Facebook Page (Plural),Pages,Pages,
1,91,Screen label for Remote Session (Singular),Remote Session,Remote Session,
1,92,Screen label for Remote Sessions (Plural),Remote Sessions,Remote Sessions,
1,93,Screen label for Software Licence (Singular),Software Licence,Software License,
1,94,Screen label for Software Licences (Plural),Software Licences,Software Licenses,
2,-119,Field Label - Seen By,Seen By,,
4,-119,Field hint - Seen By,,,
2,-118,Field Label - Branch,Branch,,
4,-118,Field hint - Branch,,,
2,-117,Field Label - Pull Request ID,Pull Request ID,,
4,-117,Field hint - Pull Request ID,,,
2,-116,Field Label - Sage Intacct Class,Sage Intacct Class,,
4,-116,Field hint - Sage Intacct Class,,,
2,-115,Field Label - Send to Linked Halo Instance,Send to Linked Halo Instance,,
4,-115,Field hint - Send to Linked Halo Instance,,,
2,-114,Field Label - Sync to Jira Service Management,Sync to Jira Service Management,,
4,-114,Field hint - Sync to Jira Service Management,,,
2,-113,Field Label - PagerDuty Service,PagerDuty Service,,
4,-113,Field hint - PagerDuty Service,,,
2,-112,Field Label - Satisfaction Comment,Satisfaction Comment,,
4,-112,Field hint - Satisfaction Comment,,,
2,-111,Field Label - Satisfaction Level,Satisfaction Level,,
4,-111,Field hint - Satisfaction Level,,,
2,-110,Field Label - Ticket Items are Billable,Ticket Items are Billable,,
4,-110,Field hint - Ticket Items are Billable,,,
2,-109,Field Label - Asset Change Calendar,Asset Change Calendar,,
4,-109,Field hint - Asset Change Calendar,,,
2,-108,Field Label - Primary Service,Primary Service,,
4,-108,Field hint - Primary Service,,,
2,-107,Field Label - Region,Region,,
4,-107,Field hint - Region,Opportunity Region,,
2,-106,Field Label - Sync to ServiceNow,Sync to ServiceNow,,
4,-106,Field hint - Sync to ServiceNow,,,
2,-105,Field Label - Start Date & Time,Start Date & Time,,
4,-105,Field hint - Start Date & Time,,,
2,-104,Field Label - Target Date & Time,Target Date & Time,,
4,-104,Field hint - Target Date & Time,,,
2,-103,Field Label - Salesforce Stage,Salesforce Stage,,
4,-103,Field hint - Salesforce Stage,,,
2,-102,Field Label - Sync to Salesforce,Sync to Salesforce,,
4,-102,Field hint - Sync to Salesforce,,,
2,-101,Field Label - Ticket Tags,Ticket Tags,,
4,-101,Field hint - Ticket Tags,,,
2,-100,Field Label - Resource Type,Resource Type,Resource Type,
4,-100,Field hint - Resource Type,Choose a resource type for resource booking.,,
2,-99,Field Label - Ticket Labor is billable,Ticket Labor is billable,Ticket is billable,
4,-99,Field hint - Ticket Labor is billable,The option to determine if a ticket is billable,,
2,-98,Field Label - Default Charge Rate,Default Charge Rate,Default Charge Rate,
4,-98,Field hint - Default Charge Rate,,,
2,-97,Field Label - Primary Asset Status,Primary Asset Status,Primary Asset Status,
4,-97,Field hint - Primary Asset Status,,,
2,-96,Field Label - Jira Components,Jira Components,Jira Components,
4,-96,Field hint - Jira Components,Select Jira Components,,
2,-95,Field Label - Important,Important,Important,
4,-95,Field hint - Important,The Option for Importance for Change Management,,
2,-94,Field Label - Release Note Group,Release Note Group,Release Note Group,
4,-94,Field hint - Release Note Group,The Release Note Group for Change Management,,
2,-93,Field Label - Release 3,Release 3,Release 3,
4,-93,Field hint - Release 3,The Tertiary Release for Change Management,,
2,-92,Field Label - Release 2,Release 2,Release 2,
4,-92,Field hint - Release 2,The Secondary Release for Change Management,,
2,-91,Field Label - Release,Release,Release,
4,-91,Field hint - Release,The Primary Release for Change Management,,
2,-90,Field Label - Release Note,Release Note,Release Note,
4,-90,Field hint - Release Note,The Release Note for Change Management,,
2,-89,Field Label - Shown On Roadmap,Shown On Roadmap,Shown On Roadmap,
4,-89,Field hint - Shown On Roadmap,The Option to show on roadmap for Change Management,,
2,-88,Field Label - Test Plan,Test Plan,Test Plan,
4,-88,Field hint - Test Plan,The Test Plan for Change Management,,
2,-87,Field Label - Communication Plan,Communication Plan,Communication Plan,
4,-87,Field hint - Communication Plan,The Communication Plan for Change Management,,
2,-86,Field Label - Backout Plan,Backout Plan,Backout Plan,
4,-86,Field hint - Backout Plan,The Backout Plan for Change Management,,
2,-85,Field Label - Risk,Risk,Risk,
4,-85,Field hint - Risk,The Risk for Change Management,,
2,-84,Field Label - Impact,Impact,Impact,
4,-84,Field hint - Impact,The Impact for Change Management,,
2,-83,Field Label - Justification,Justification,Justification,
4,-83,Field hint - Justification,The Justification for Change Management,,
2,-82,Field Label - Change Information,Change Information,Change Information,
4,-82,Field hint - Change Information,The Change Information for Change Management,,
2,-81,Field Label - Sprint,Sprint,Sprint,
4,-81,Field hint - Sprint,Choose a Sprint,,
2,-80,Field Label - Private Note,Private Note,Private Note,
4,-80,Field hint - Private Note,Add your Private Note Here,,
2,-79,Field Label - Forward Inbound Updates To All,Forward Inbound Updates To All,Forward Inbound Updates To All,
4,-79,Field hint - Forward Inbound Updates To All,,,
2,-78,Field Label - Template,Template,Template,
4,-78,Field hint - Template,,,
2,-77,Field Label - Time Taken,Time Taken,Time Taken,
4,-77,Field hint - Time Taken,,,
2,-76,Field Label - Splunk On Call Target,Splunk On Call Target,Splunk On Call Target,
4,-76,Field hint - Splunk On Call Target,,,
2,-75,Field Label - Send to Splunk On Call,Send to Splunk On Call,Send to Splunk On Call,
4,-75,Field hint - Send to Splunk On Call,,,
2,-74,Field Label - Send to Azure DevOps,Send to Azure DevOps,Send to Azure DevOps,
4,-74,Field hint - Send to Azure DevOps,,,
2,-73,Field Label - Quantity,Quantity,Quantity,
4,-73,Field hint - Quantity,,,
2,-72,Field Label - Cost,Cost,Cost,
4,-72,Field hint - Cost,,,
2,-71,Field Label - Reporter,Reporter,Reporter,
4,-71,Field hint - Reporter,The reporter of the issue in Jira,,
2,-70,Field Label - Send Attachments to Jira,Send Attachments to Jira,Send Attachments to Jira,
4,-70,Field hint - Send Attachments to Jira,,,
2,-69,Field Label - Appointment Type,Appointment Type,Appointment Type,
4,-69,Field hint - Appointment Type,,,
2,-68,Field Label - Send Remote Session Invitation,Send Remote Session Invitation,Send Remote Session Invitation,
4,-68,Field hint - Send Remote Session Invitation,,,
2,-67,Field Label - Remote Session Technician/Channel,Remote Session Technician/Channel,Remote Session Technician/Channel,
4,-67,Field hint - Remote Session Technician/Channel,,,
2,-66,Field Label - Documents,Documents,Documents,
4,-66,Field hint - Documents,,,
2,-65,Field Label - Budgets,Budgets,Budgets,
4,-65,Field hint - Budgets,,,
2,-64,Field Label - Budget Type,Budget Type,Budget Type,
4,-64,Field hint - Budget Type,,,
2,-63,Field Label - Related $#services,Related $#services,Related $#services,
4,-63,Field hint - Related $#services,,,
2,-62,Field Label - Remaining Estimate,Remaining Estimate,Remaining Estimate,
4,-62,Field hint - Remaining Estimate,,,
2,-61,Field Label - Original Estimate,Original Estimate,Original Estimate,
4,-61,Field hint - Original Estimate,,,
2,-60,Field Label - Linked $#request Status,Linked $#request Status,Linked $#request Status,
4,-60,Field hint - Linked $#request Status,,,
2,-59,Field Label - Include on Mailing Lists,Include on Mailing Lists,Include on Mailing Lists,
4,-59,Field hint - Include on Mailing Lists,,,
2,-58,Field Label - Third Party ID,Third Party ID,Third Party ID,
4,-58,Field hint - Third Party ID,,,
2,-57,Field Label - Appointment/Task Completion Status,Appointment/Task Completion Status,Appointment/Task Completion Status,
4,-57,Field hint - Appointment/Task Completion Status,,,
2,-56,Field Label - Timezone,Timezone,Timezone,
4,-56,Field hint - Timezone,,,
2,-55,Field Label - Closure Category,Closure Category,Closure Category,
4,-55,Field hint - Closure Category,,,
2,-54,Field Label - Add a follow up Task,Add a follow up Task,Add a follow up Task,
4,-54,Field hint - Add a follow up Task,,,
2,-53,Field Label - Add a follow up Appointment,Add a follow up Appointment,Add a follow up Appointment,
4,-53,Field hint - Add a follow up Appointment,,,
2,-52,Field Label - Followers,Followers,Followers,
4,-52,Field hint - Followers,,,
2,-51,Field Label - $#technician Signature,$#technician Signature,$#technician Signature,
4,-51,Field hint - $#technician Signature,,,
2,-50,Field Label - Customer Signature,Customer Signature,Customer Signature,
4,-50,Field hint - Customer Signature,,,
2,-49,Field Label - Resource Booking,Resource Booking,Resource Booking,
4,-49,Field hint - Resource Booking,Select a timeslot for your booking.,,
2,-48,Field Label - Article Description,Article Description,,
4,-48,Field hint - Article Description,Enter the description of the problem.,,
2,-47,Field Label - Article Resolution,Article Resolution,,
4,-47,Field hint - Article Resolution,Enter the resolution to the problem.,,
2,-46,Field Label - Article Notes,Article Notes,,
4,-46,Field hint - Article Notes,,,
2,-45,Field Label - Tags,Tags,,
4,-45,Field hint - Tags,,,
2,-44,Field Label - FAQ Lists,FAQ Lists,,
4,-44,Field hint - FAQ Lists,,,
2,-43,Field Label - Related Articles,Related Articles,,
4,-43,Field hint - Related Articles,,,
2,-42,Field Label - Article Type,Article Type,,
4,-42,Field hint - Article Type,,,
2,-41,Field Label - Travel Charge Rate,Travel Charge Rate,,
4,-41,Field hint - Travel Charge Rate,,,
2,-40,Field Label - Sync to Azure Sentinel,Sync to Azure Sentinel,,
4,-40,Field hint - Sync to Azure Sentinel,,,
2,-39,Field Label - Azure Sentinel Classification,Azure Sentinel Classification,,
4,-39,Field hint - Azure Sentinel Classification,,,
2,-38,Field Label - Azure Sentinel Classification Reason,Azure Sentinel Classification Reason,,
4,-38,Field hint - Azure Sentinel Classification Reason,,,
2,-37,Field Label - Update Related Service Status,Update Related Service Status,,
4,-37,Field hint - Update Related Service Status,Allow this ticket to update the service status when using ticket driven service statuses,,
2,-36,Field Label - Service Status Note,Service Status Note,,
4,-36,Field hint - Service Status Note,,,
2,-35,Field Label - Parent Ticket ID,Parent Ticket ID,,
4,-35,Field hint - Parent Ticket ID,,,
2,-34,Field Label - Related Ticket ID,Related Ticket ID,,
4,-34,Field hint - Related Ticket ID,,,
2,-33,Field Label - Send to Jira,Send to Jira,,
4,-33,Field hint - Send to Jira,,,
2,-32,Field Label - Azure Tenant,Azure Tenant,,
4,-32,Field hint - Azure Tenant,,,
2,-31,Field Label - Items Issued,Items Issued,,
4,-31,Field hint - Items Issued,,,
2,-27,Field Label - Target Time,Target Time,Target Time,
4,-27,Field hint - Target Time,End Time,,
2,-26,Field Label - Start Time,Start Time,Start Time,
4,-26,Field hint - Start Time,Start Time,,
2,-25,Field Label - Install Date,Install Date,Install Date,
4,-25,Field hint - Install Date,Install Date,,
2,-24,Field Label - Is Internal,Is Internal,Is Internal,
4,-24,Field hint - Is Internal,Project Is Internal,,
2,-23,Field Label - Is Install,Is Install,Is Install,
4,-23,Field hint - Is Install,Project Is Install,,
2,-22,Field Label - Allowance Date,Allowance Date,Allowance Date,
4,-22,Field hint - Allowance Date,Project Allowance Date,,
2,-21,Field Label - Deadline,Deadline,Deadline,
4,-21,Field hint - Deadline,Deadline,,
2,-20,Field Label - Deadline Notification,Deadline Notification,Deadline Notification,
4,-20,Field hint - Deadline Notification,Deadline Notification,,
2,-19,Field Label - Start Date,Start Date,Start Date,
4,-19,Field hint - Start Date,Project Start Date,,
2,-18,Field Label - Currency,Currency,Currency,
4,-18,Field hint - Currency,Please select your currency.,,
2,-17,Field Label - Billing Address,Billing Address,Billing Address,
4,-17,Field hint - Billing Address,The address used for billing.,,
2,-16,Field Label - $#contract,$#contract,$#contract,
4,-16,Field hint - $#contract,Linked contract for billing.,,
2,-15,Field Label - Send To PagerDuty,Send To PagerDuty,Send To PagerDuty,
4,-15,Field hint - Send To PagerDuty,"Check ""Send to PagerDuty"" to log a new incidient in PagerDuty.",,
2,-14,Field Label - Apply Ticket Rules,Apply Ticket Rules,Apply Ticket Rules,
4,-14,Field hint - Apply Ticket Rules,"Check ""Apply Ticket Rules"" if you would like a matching Ticket rule to be applied.",,
2,-13,Field Label - $#client Override,$#client Override,$#client Override,
4,-13,Field hint - $#client Override,Area,,
2,-12,Field Label - Version,Version,Version,
4,-12,Field hint - Version,The version of the product for software release Change Management.,,
2,-11,Field Label - $#component,$#component,$#component,
4,-11,Field hint - $#component,The component of the product for software release Change Management.,,
2,-10,Field Label - $#product,$#product,$#product,
4,-10,Field hint - $#product,The Product for software release Change Management.,,
2,1,Field Label - $#requesttype,$#requesttype,$#requesttype,
4,1,Field hint - $#requesttype,"Type of Request e.g. Incident, Installation etc",,
2,2,Field Label - Summary,Summary,Summary,
4,2,Field hint - Summary,   ,,
2,3,Field Label - Details,Details,Details,
4,3,Field hint - Details,Please provide a detailed description and include screenshots where possible.,,
2,4,Field Label - $#asset,$#asset,$#asset,
4,4,Field hint - $#asset,Please select the relevant device below.,,
2,5,Field Label - $#category1,$#category1,$#category1,
4,5,Field hint - $#category1,,,
2,6,Field Label - $#category2,$#category2,$#category2,
4,6,Field hint - $#category2,,,
2,7,Field Label - $#category3,$#category3,$#category3,
4,7,Field hint - $#category3,Third category Field,,
2,8,Field Label - $#category4,$#category4,$#category4,
4,8,Field hint - $#category4,Fourth category Field,,
2,9,Field Label - SLA,SLA,SLA,
4,9,Field hint - SLA,Allows the Service Level Agreement used by the request to be modified,,
2,10,Field Label - Priority,Priority,Priority,
4,10,Field hint - Priority,Priority of the request,,
2,11,Field Label - Date Reported,Date Reported,Date Created,
4,11,Field hint - Date Reported,Allows the Service Level Agreement used by the request to be modified,,
2,12,Field Label - $#appointment,$#appointment,$#appointment,
4,12,Field hint - $#appointment,Date/Time at which you plan to resolve the request,,
2,13,Field Label - $#section,$#section,$#section,
4,13,Field hint - $#section,Group of Technicians assigned to this request,,
2,14,Field Label - $#technician,$#technician,$#technician,
4,14,Field hint - $#technician,Technician assigned to this request,,
2,15,Field Label - Reported By,Reported By,Reported By,
4,15,Field hint - Reported By,Person who reported the requested,,
2,16,Field Label - Estimated Time,Estimated Time,Estimated Time,
4,16,Field hint - Estimated Time,Estimate of time required to resolve the request,,
2,17,Field Label - Show to End User,Show to End User,Show to End User,
4,17,Field hint - Show to End User,Controls visibility of request on web interface,,
2,18,Field Label - Exclude from SLA,Exclude from SLA,Exclude from SLA,
4,18,Field hint - Exclude from SLA,Controls whether or not this request is included in SLA calculations,,
2,19,Field Label - User Contacted,User Contacted,User Contacted,
4,19,Field hint - User Contacted,Allows the default status to be Contacted,,
2,20,Field Label - Send Email,Send Email,Send Email,
4,20,Field hint - Send Email,Choose whether or not to send an email to the user with details of the request,,
2,23,Field Label - Fault Code,Fault Code,Fault Code,
4,23,Field hint - Fault Code,,,
2,24,Field Label - Delivery Contact,Delivery Contact,Delivery Contact,
4,24,Field hint - Delivery Contact,Delivery Contact Name,,
2,25,Field Label - Delivery Address,Delivery Address,Address,
4,25,Field hint - Delivery Address,                         ,,
2,26,Field Label - $#site Override,$#site Override,$#site Override,
4,26,Field hint - $#site Override,Site,,
2,27,Field Label - Impact,Impact,Impact,
4,27,Field hint - Impact,,,
2,28,Field Label - Urgency,Urgency,Urgency,
4,28,Field hint - Urgency,,,
2,29,Field Label - Company Name,Company Name,Company Name,
4,29,Field hint - Company Name,Opportunity Company Name,,
2,30,Field Label - Contact Name,Contact Name,Contact Name,
4,30,Field hint - Contact Name,Opportunity Contact Name,,
2,31,Field Label - Email Address,Email Address,Email Address,
4,31,Field hint - Email Address,Opportunity Email Address,,
2,36,Field Label - Potential Value,Potential Value,Potential Value,
4,36,Field hint - Potential Value,Opportunity Value,,
2,37,Field Label - Conversion Probability,Conversion Probability,Conversion Probability,
4,37,Field hint - Conversion Probability,Opportunity Conversion Probability,,
2,38,Field Label - Phone Number,Phone Number,Phone Number,
4,38,Field hint - Phone Number,Opportunity Tel,,
2,39,Field Label - Email To List,Email To List,Email To List,
4,39,Field hint - Email To List,Email To List,,
2,40,Field Label - Email Cc List,Email Cc List,Email Cc List,
4,40,Field hint - Email Cc List,Email CC List,,
2,41,Field Label - Source,Source,Source,
4,41,Field hint - Source,Source,,
2,42,Field Label - 42,42,42,
4,42,Field hint - 42,Date/Time targetted.,,
2,43,Field Label - Time Budget,Time Budget,Time Budget,
4,43,Field hint - Time Budget,Project Time Budget,,
2,44,Field Label - Time Actual,Time Actual,Time Actual,
4,44,Field hint - Time Actual,Project Time Actual,,
2,45,Field Label - Money Budget,Money Budget,Money Budget,
4,45,Field hint - Money Budget,Project Money Budget,,
2,46,Field Label - Money Actual,Money Actual,Money Actual,
4,46,Field hint - Money Actual,Project Money Actual,,
2,47,Field Label - Profit,Profit,Profit,
4,47,Field hint - Profit,Opportunity Profit,,
2,48,Field Label - Budget Type,Budget Type,Budget Type,
4,48,Field hint - Budget Type,Choose budget type,,
2,49,Field Label - Actual Cost,Actual Cost,Actual Cost,
4,49,Field hint - Actual Cost,Actual Cost,,
2,50,Field Label - Country,Country,Country,
4,50,Field hint - Country,Opportunity Country,,
2,51,Field Label - Company Type,Company Type,Company Type,
4,51,Field hint - Company Type,Type of Opportunity,,
2,52,Field Label - Contact Title,Contact Title,Contact Title,
4,52,Field hint - Contact Title,Opportunity Customer Title,,
2,53,Field Label - How Did They Hear,How Did They Hear,How Did They Hear,
4,53,Field hint - How Did They Hear,Opportunity How Did They Hear,,
2,54,Field Label - Current System,Current System,Current System,
4,54,Field hint - Current System,Opportunity Current System,,
2,55,Field Label - Trial Date,Trial Date,Trial Date,
4,55,Field hint - Trial Date,Opportunity Trial Date,,
2,56,Field Label - Demo Date,Demo Date,Demo Date,
4,56,Field hint - Demo Date,Opportunity Demo Date,,
2,57,Field Label - Discount Date,Discount Date,Discount Date,
4,57,Field hint - Discount Date,Opportunity Discount Date,,
2,58,Field Label - Attempts Made,Attempts Made,Attempts Made,
4,58,Field hint - Attempts Made,Opportunity Attempts Made,,
2,59,Field Label - Converted Date,Converted Date,Converted Date,
4,59,Field hint - Converted Date,Opportunity Converted Date,,
2,60,Field Label - Competitor Chosen,Competitor Chosen,Competitor Chosen,
4,60,Field hint - Competitor Chosen,Opportunity Competitor Chosen,,
2,61,Field Label - Reason,Reason,Reason,
4,61,Field hint - Reason,Opportunity Reason,,
2,62,Field Label - Target Date,Target Date,Target Date,
4,62,Field hint - Target Date,Opportunity Target Date,,
2,63,Field Label - Mailbox,Mailbox,Mailbox,
4,63,Field hint - Mailbox,The default outgoing mailbox to send emails from. Will also set Organisation.,,
2,64,Field Label - Choose Approver,Choose Approver,Choose Approver,
4,64,Field hint - Choose Approver,The End User is able to pick an approver from the allowed users at their site.,,
2,65,Field Label - Date Done,Date Done,Date Done,
4,65,Field hint - Date Done,Date Action Done,,
2,66,Field Label - Time Taken,Time Taken,Time Taken,
4,66,Field hint - Time Taken,Man Hours,,
2,67,Field Label - Non Billable Time,Non Billable Time,Non Billable Time,
4,67,Field hint - Non Billable Time,Non Billable Hours,,
2,68,Field Label - Travel Hours,Travel Hours,Travel Hours,
4,68,Field hint - Travel Hours,Travel Hours,,
2,69,Field Label - Distance Travelled,Distance Travelled,Distance Travelled,
4,69,Field hint - Distance Travelled,Distance Travelled,,
2,70,Field Label - $#charge,$#charge,$#charge,
4,70,Field hint - $#charge,Charge Rate,,
2,71,Field Label - $#status,$#status,$#status,
4,71,Field hint - $#status,Status,,
2,72,Field Label - $#field_10,$#field_10,$#field_10,
4,72,Field hint - $#field_10,Priority,,
2,74,Field Label - Email Template,Email Template,Email Template,
4,74,Field hint - Email Template,Email Template,,
2,75,Field Label - 75,75,75,
4,75,Field hint - 75,User Defined Dropdown Field,,
2,76,Field Label - $#technician Doing Action,$#technician Doing Action,$#technician Doing Action,
4,76,Field hint - $#technician Doing Action,Technician Doing Action,,
2,77,Field Label - Re-assign,Re-assign,Re-assign,
4,77,Field hint - Re-assign,Re-assign to,,
2,78,Field Label - Fix By Date,Fix By Date,Fix By Date,
4,78,Field hint - Fix By Date,Fix By Date,,
2,79,Field Label - 79,79,79,
4,79,Field hint - 79,SLA Hold/Release,,
2,80,Field Label - 80,80,80,
4,80,Field hint - 80,Hide from User,,
2,81,Field Label - $#appointment,$#appointment,$#appointment,
4,81,Field hint - $#appointment,Planned Date,,
2,82,Field Label - $#supplier,$#supplier,$#supplier,
4,82,Field hint - $#supplier,Supplier and Contract,,
2,83,Field Label - $#supplier Fixed/Response,$#supplier Fixed/Response,$#supplier Fixed/Response,
4,83,Field hint - $#supplier Fixed/Response,Supplier Fixed/Responded,,
2,84,Field Label - Follow-Up Date,Follow-Up Date,Follow-Up Date,
4,84,Field hint - Follow-Up Date,Follow-Up Date,,
2,85,Field Label - $#category1,$#category1,$#category1,
4,85,Field hint - $#category1,Category,,
2,86,Field Label - $#category2,$#category2,$#category2,
4,86,Field hint - $#category2,Category2,,
2,87,Field Label - $#category3,$#category3,$#category3,
4,87,Field hint - $#category3,Category3,,
2,88,Field Label - $#category4,$#category4,$#category4,
4,88,Field hint - $#category4,Example Sales Cat.,,
2,89,Field Label - $#requesttype,$#requesttype,$#requesttype,
4,89,Field hint - $#requesttype,Request Type*,,
2,90,Field Label - Note,Note,Note,
4,90,Field hint - Note,Action Note,,
2,91,Field Label - UKAS Acredited,UKAS Acredited,UKAS Acredited,
4,91,Field hint - UKAS Acredited,UKAS Acredited,,
2,92,Field Label - Lab Number,Lab Number,Lab Number,
4,92,Field hint - Lab Number,Lab Number,,
2,93,Field Label - First Time Fix,First Time Fix,First Time Fix,
4,93,Field hint - First Time Fix,First Time Fix,,
2,94,Field Label - Site Visit,Site Visit,Site Visit,
4,94,Field hint - Site Visit,Site Visit,,
2,95,Field Label - Root Cause,Root Cause,Root Cause,
4,95,Field hint - Root Cause,Root Cause,,
2,96,Field Label - $#field_-10,$#field_-10,$#field_-10,
4,96,Field hint - $#field_-10,Product,,
2,97,Field Label - $#field_-11,$#field_-11,$#field_-11,
4,97,Field hint - $#field_-11,Component,,
2,98,Field Label - $#field_-12,$#field_-12,$#field_-12,
4,98,Field hint - $#field_-12,Version,,
2,99,Field Label - Action With,Action With,Action With,
4,99,Field hint - Action With,Action with,,
3,113,Custom Field Label - Desktop Type(CFdesktopType),Desktop Type,,
5,113,Custom Field hint - Desktop Type(CFdesktopType),,,
3,114,Custom Field Label - Justification(CFjustification),Justification,,
5,114,Custom Field hint - Justification(CFjustification),Please provide details to support your request.,,
3,115,Custom Field Label - Is this a new requirement or to replace existing hardware?(CFnewOrExisting),Is this a new requirement or to replace existing hardware?,,
5,115,Custom Field hint - Is this a new requirement or to replace existing hardware?(CFnewOrExisting),,,
3,116,Custom Field Label - Peripherals(CFperipheralsDesktop),Peripherals,,
5,116,Custom Field hint - Peripherals(CFperipheralsDesktop),"For example headset, webcam etc.",,
3,117,Custom Field Label - Software(CFsoftware),Software,,
5,117,Custom Field hint - Software(CFsoftware),Please choose from the list below (you may make multiple selections),,
3,118,Custom Field Label - Existing Asset Tag(CFexistingAsset),Existing Asset Tag,,
5,118,Custom Field hint - Existing Asset Tag(CFexistingAsset),"You will find this information on the asset tag on your device.
",,
3,119,Custom Field Label - Administrator Rights(CFadministrationRights),Administrator Rights,,
5,119,Custom Field hint - Administrator Rights(CFadministrationRights),,,
